,Date,Open,High,Low,Close,Volume
1390,2005-07-12,2219.1,2233.2,2191.7,2220.8,71608159.0
1391,2005-07-13,2221.45,2234.15,2200.05,2204.05,74227393.0
1392,2005-07-14,2204.4,2212.55,2178.6,2185.1,65035973.0
1393,2005-07-15,2185.1,2216.5,2181.85,2212.55,57478017.0
1394,2005-07-18,2212.95,2248.7,2212.95,2234.0,55018172.0
1395,2005-07-19,2234.25,2246.7,2227.2,2237.3,51111855.0
1396,2005-07-20,2236.9,2252.0,2236.9,2241.9,56890570.0
1397,2005-07-21,2240.95,2251.85,2221.2,2230.5,60766699.0
1398,2005-07-22,2231.0,2268.55,2223.15,2265.6,57710283.0
1399,2005-07-25,2266.65,2293.95,2266.65,2291.75,81357219.0
1400,2005-07-26,2289.25,2307.1,2279.8,2303.15,98680238.0
1401,2005-07-27,2304.25,2324.0,2292.85,2319.1,70682407.0
1402,2005-07-29,2318.05,2332.55,2280.85,2312.3,111818711.0
1403,2005-08-01,2312.05,2329.9,2294.25,2318.05,59153792.0
1404,2005-08-02,2321.9,2357.15,2319.75,2353.65,81640117.0
1405,2005-08-03,2359.1,2377.0,2345.2,2357.0,102044390.0
1406,2005-08-04,2357.75,2377.35,2352.05,2367.8,91949999.0
1407,2005-08-05,2367.35,2377.1,2355.95,2361.2,114264260.0
1408,2005-08-08,2361.95,2386.95,2320.05,2324.4,97370128.0
1409,2005-08-09,2324.75,2342.2,2303.1,2318.7,93650866.0
1410,2005-08-10,2322.3,2364.8,2322.05,2360.15,81805269.0
1411,2005-08-11,2358.9,2387.3,2355.5,2380.9,93589538.0
1412,2005-08-12,2381.05,2390.45,2356.9,2361.55,71135423.0
1413,2005-08-16,2361.65,2379.4,2356.85,2369.8,59048436.0
1414,2005-08-17,2369.8,2406.25,2357.5,2403.15,61480220.0
1415,2005-08-18,2404.65,2426.65,2380.7,2388.45,63479228.0
1416,2005-08-19,2400.8,2409.35,2378.45,2383.45,47521272.0
1417,2005-08-22,2383.45,2403.45,2355.75,2367.85,55932078.0
1418,2005-08-23,2369.55,2380.5,2320.35,2326.1,57190186.0
1419,2005-08-24,2326.1,2334.9,2300.45,2322.5,68322962.0
1420,2005-08-25,2323.1,2359.2,2320.7,2354.55,78538713.0
1421,2005-08-26,2354.6,2368.05,2340.2,2357.05,47579420.0
1422,2005-08-29,2359.2,2365.85,2312.6,2337.65,41867254.0
1423,2005-08-30,2337.8,2373.8,2337.75,2367.75,46969539.0
1424,2005-08-31,2369.05,2387.0,2355.0,2384.65,50116797.0
1425,2005-09-01,2384.7,2412.35,2382.9,2405.75,59762105.0
1426,2005-09-02,2406.45,2422.1,2396.1,2415.8,61335349.0
1427,2005-09-05,2417.1,2439.55,2414.95,2422.95,50521839.0
1428,2005-09-06,2422.4,2436.25,2417.0,2428.65,47409904.0
1429,2005-09-08,2429.0,2456.9,2429.0,2454.45,46073516.0
1430,2005-09-09,2448.8,2462.8,2441.9,2455.45,47670661.0
1431,2005-09-12,2455.85,2486.35,2455.85,2484.15,44832163.0
