,Date,Open,High,Low,Close,Adj Close,Volume
1079,2009-06-02,9774.549805,9793.469727,9704.30957,9704.30957,9704.30957,184700.0
1080,2009-06-03,9723.820313,9774.549805,9718.700195,9741.669922,9741.669922,140600.0
1081,2009-06-04,9690.929688,9743.459961,9654.450195,9668.959961,9668.959961,175900.0
1082,2009-06-05,9752.509766,9774.980469,9719.139648,9768.009766,9768.009766,156100.0
1083,2009-06-08,9829.280273,9914.070313,9816.169922,9865.629883,9865.629883,155800.0
1084,2009-06-09,9824.169922,9855.889648,9755.80957,9786.820313,9786.820313,159000.0
1085,2009-06-10,9833.639648,9991.490234,9813.769531,9991.490234,9991.490234,192800.0
1086,2009-06-11,9992.980469,10022.230469,9958.980469,9981.330078,9981.330078,211200.0
1087,2009-06-12,10088.209961,10170.820313,10050.959961,10135.820313,10135.820313,297200.0
1088,2009-06-15,10126.549805,10126.549805,10029.589844,10039.669922,10039.669922,158200.0
1089,2009-06-16,9914.400391,9941.5,9752.879883,9752.879883,9752.879883,174600.0
1090,2009-06-17,9705.730469,9845.519531,9705.730469,9840.849609,9840.849609,179400.0
1091,2009-06-18,9778.349609,9778.349609,9649.830078,9703.719727,9703.719727,168700.0
1092,2009-06-19,9757.849609,9822.830078,9703.870117,9786.259766,9786.259766,174900.0
1093,2009-06-22,9788.070313,9887.129883,9763.370117,9826.269531,9826.269531,149900.0
1094,2009-06-23,9695.759766,9712.089844,9511.450195,9549.610352,9549.610352,185600.0
1095,2009-06-24,9596.780273,9624.410156,9534.240234,9590.320313,9590.320313,153100.0
1096,2009-06-25,9628.179688,9871.139648,9619.019531,9796.080078,9796.080078,161200.0
1097,2009-06-26,9852.919922,9893.0,9793.950195,9877.389648,9877.389648,135800.0
1098,2009-06-29,9866.280273,9943.830078,9748.730469,9783.469727,9783.469727,160200.0
1099,2009-06-30,9896.55957,10000.299805,9894.950195,9958.44043,9958.44043,143300.0
1100,2009-07-01,9889.339844,10086.179688,9874.0,9939.929688,9939.929688,158100.0
1101,2009-07-02,9993.769531,9993.769531,9869.540039,9876.150391,9876.150391,141700.0
1102,2009-07-03,9751.69043,9816.070313,9691.160156,9816.070313,9816.070313,127100.0
1103,2009-07-06,9738.490234,9771.759766,9650.75,9680.870117,9680.870117,109800.0
1104,2009-07-07,9713.620117,9734.429688,9619.679688,9647.790039,9647.790039,142800.0
1105,2009-07-08,9548.80957,9557.389648,9407.980469,9420.75,9420.75,147900.0
1106,2009-07-09,9342.330078,9384.240234,9291.05957,9291.05957,9291.05957,148400.0
1107,2009-07-10,9338.759766,9370.150391,9265.240234,9287.280273,9287.280273,151400.0
1108,2009-07-13,9242.129883,9343.860352,9050.330078,9050.330078,9050.330078,168800.0
1109,2009-07-14,9173.139648,9284.379883,9166.629883,9261.80957,9261.80957,168000.0
1110,2009-07-15,9307.450195,9333.639648,9250.730469,9269.25,9269.25,169600.0
1111,2009-07-16,9393.980469,9489.669922,9317.110352,9344.160156,9344.160156,178400.0
1112,2009-07-17,9413.860352,9420.610352,9360.589844,9395.320313,9395.320313,122100.0
1113,2009-07-21,9512.519531,9652.019531,9508.919922,9652.019531,9652.019531,151300.0
1114,2009-07-22,9642.790039,9750.629883,9608.769531,9723.160156,9723.160156,153800.0
1115,2009-07-23,9712.099609,9861.290039,9703.839844,9792.94043,9792.94043,171800.0
1116,2009-07-24,9909.400391,9950.040039,9863.870117,9944.549805,9944.549805,205500.0
1117,2009-07-27,10020.870117,10179.589844,10015.110352,10088.660156,10088.660156,161200.0
1118,2009-07-28,10116.889648,10116.889648,10049.629883,10087.259766,10087.259766,138500.0
1119,2009-07-29,10035.910156,10161.950195,10035.910156,10113.240234,10113.240234,146700.0
1120,2009-07-30,10155.709961,10169.679688,10067.509766,10165.209961,10165.209961,147400.0
1121,2009-07-31,10275.139648,10359.070313,10259.570313,10356.830078,10356.830078,182700.0
1122,2009-08-03,10355.230469,10380.570313,10322.0,10352.469727,10352.469727,162000.0
1123,2009-08-04,10438.400391,10479.19043,10358.480469,10375.009766,10375.009766,175400.0
1124,2009-08-05,10405.049805,10406.099609,10252.530273,10252.530273,10252.530273,134600.0
1125,2009-08-06,10266.009766,10426.139648,10266.009766,10388.089844,10388.089844,146500.0
1126,2009-08-07,10365.709961,10412.089844,10249.040039,10412.089844,10412.089844,140500.0
1127,2009-08-10,10530.620117,10585.370117,10487.700195,10524.259766,10524.259766,147800.0
1128,2009-08-11,10514.740234,10587.360352,10512.209961,10585.459961,10585.459961,135300.0
1129,2009-08-12,10486.360352,10526.349609,10434.089844,10435.0,10435.0,124100.0
1130,2009-08-13,10508.089844,10556.280273,10489.120117,10517.19043,10517.19043,125900.0
1131,2009-08-14,10551.330078,10630.379883,10539.429688,10597.330078,10597.330078,142600.0
1132,2009-08-17,10521.019531,10521.019531,10268.610352,10268.610352,10268.610352,134000.0
1133,2009-08-18,10208.120117,10325.05957,10181.099609,10284.959961,10284.959961,126600.0
1134,2009-08-19,10269.969727,10327.169922,10195.110352,10204.0,10204.0,138100.0
1135,2009-08-20,10254.530273,10407.299805,10204.259766,10383.410156,10383.410156,137000.0
1136,2009-08-21,10375.219727,10375.219727,10142.219727,10238.200195,10238.200195,154300.0
1137,2009-08-24,10389.570313,10591.0,10388.780273,10581.049805,10581.049805,122500.0
1138,2009-08-25,10515.570313,10566.30957,10469.69043,10497.360352,10497.360352,127000.0
1139,2009-08-26,10554.44043,10668.740234,10526.509766,10639.709961,10639.709961,132100.0
1140,2009-08-27,10570.780273,10575.790039,10400.830078,10473.969727,10473.969727,138700.0
1141,2009-08-28,10546.879883,10560.44043,10471.629883,10534.139648,10534.139648,130200.0
1142,2009-08-31,10608.160156,10767.0,10423.900391,10492.530273,10492.530273,152400.0
1143,2009-09-02,10378.080078,10378.080078,10215.599609,10280.459961,10280.459961,138100.0
1144,2009-09-03,10240.019531,10290.830078,10185.379883,10214.639648,10214.639648,117500.0
1145,2009-09-04,10256.490234,10256.490234,10143.259766,10187.110352,10187.110352,131300.0
1146,2009-09-07,10288.55957,10326.450195,10274.379883,10320.94043,10320.94043,97100.0
1147,2009-09-08,10353.509766,10393.230469,10300.5,10393.230469,10393.230469,118000.0
1148,2009-09-09,10343.799805,10390.25,10249.110352,10312.139648,10312.139648,140800.0
1149,2009-09-10,10385.349609,10521.139648,10382.990234,10513.669922,10513.669922,133400.0
1150,2009-09-11,10519.330078,10522.230469,10407.969727,10444.330078,10444.330078,189300.0
1151,2009-09-14,10388.320313,10388.320313,10170.740234,10202.05957,10202.05957,121800.0
1152,2009-09-15,10255.730469,10292.469727,10183.299805,10217.620117,10217.620117,101300.0
1153,2009-09-16,10288.719727,10394.55957,10247.240234,10270.769531,10270.769531,136800.0
1154,2009-09-17,10373.25,10443.799805,10340.139648,10443.799805,10443.799805,144700.0
1155,2009-09-18,10379.209961,10399.419922,10292.5,10370.540039,10370.540039,174500.0
1156,2009-09-24,10405.530273,10566.980469,10386.879883,10544.219727,10544.219727,168400.0
1157,2009-09-25,10395.450195,10395.450195,10228.599609,10265.980469,10265.980469,141600.0
1158,2009-09-28,10136.240234,10151.599609,9971.049805,10009.519531,10009.519531,159300.0
1159,2009-09-29,10089.110352,10125.879883,10059.870117,10100.200195,10100.200195,135700.0
1160,2009-09-30,10105.169922,10138.040039,10063.69043,10133.230469,10133.230469,121100.0
1161,2009-10-01,10072.639648,10077.219727,9965.05957,9978.639648,9978.639648,134900.0
1162,2009-10-02,9848.070313,9852.169922,9714.179688,9731.870117,9731.870117,165200.0
1163,2009-10-05,9733.070313,9751.55957,9669.30957,9674.490234,9674.490234,145000.0
1164,2009-10-06,9744.419922,9744.419922,9628.669922,9691.799805,9691.799805,154700.0
1165,2009-10-07,9750.240234,9821.740234,9735.679688,9799.599609,9799.599609,175600.0
1166,2009-10-08,9806.030273,9863.339844,9746.150391,9832.469727,9832.469727,139200.0
1167,2009-10-09,9893.629883,10016.389648,9857.389648,10016.389648,10016.389648,154900.0
1168,2009-10-13,10066.849609,10116.719727,10039.620117,10076.55957,10076.55957,132500.0
1169,2009-10-14,10096.009766,10096.009766,10016.240234,10060.209961,10060.209961,162100.0
1170,2009-10-15,10194.910156,10272.620117,10184.80957,10238.650391,10238.650391,148400.0
